('114', '倩女幽魂', '1987', '程小东 Siu-Tung Ching', '香港', '8.7')
('115', '超脱', '2011', '托尼·凯耶 Tony Kaye', '美国', '8.8')
('116', '恐怖直播', '2013', '金秉祐 Byeong-woo Kim', '韩国', '8.7')
('117', '菊次郎的夏天', '1999', '北野武 Takeshi Kitano', '日本', '8.8')
('118', '爱在日落黄昏时', '2004', '理查德·林克莱特 Richard Linklater', '美国', '8.8')
('119', '风之谷', '1984', '宫崎骏 Hayao Miyazaki', '日本', '8.8')
('120', '小森林 冬春篇', '2015', '森淳一 Junichi Mori', '日本', '9.0')
('121', '7号房的礼物', '2013', '李焕庆 Hwan-kyeong Lee', '韩国', '8.8')
('122', '杀人回忆', '2003', '奉俊昊 Joon-ho Bong', '韩国', '8.8')
('123', '哈利·波特与死亡圣器(下)', '2011', '大卫·叶茨 David Yates', '美国 英国', '8.7')
('124', '海蒂和爷爷', '2015', '阿兰·葛斯彭纳 Alain Gsponer', '德国 瑞士 南非', '9.1')
('125', '幸福终点站', '2004', '史蒂文·斯皮尔伯格 Steven Spielberg', '美国', '8.7')
('126', '蝙蝠侠：黑暗骑士崛起', '2012', '克里斯托弗·诺兰 Christopher Nolan', '美国 英国', '8.7')
('127', '上帝之城', '2002', '费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund', '巴西 法国', '8.9')
('128', '借东西的小人阿莉埃蒂', '2010', '米林宏昌 Hiromasa Yonebayashi', '日本', '8.8')
('129', '萤火之森', '2011', '大森贵弘 Takahiro Omori', '日本', '8.8')
('130', '超能陆战队', '2014', '唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams', '美国', '8.6')
('131', '唐伯虎点秋香', '1993', '李力持 Lik-Chi Lee', '香港', '8.5')
('132', '神偷奶爸', '2010', '皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud', '美国 法国', '8.5')
('133', '无人知晓', '2004', '是枝裕和 Hirokazu Koreeda', '日本', '9.1')
('134', '怪兽电力公司', '2001', '彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman', '美国', '8.6')
('135', '我不是药神', '2018', '文牧野 Muye Wen', '中国大陆', '9.0')
('136', '电锯惊魂', '2004', '詹姆斯·温 James Wan', '美国', '8.7')
('137', '岁月神偷', '2010', '罗启锐 Alex Law', '香港 中国大陆', '8.7')
